gender,age,height,weight,weekly_hours,stress
f,53,170,95,37,3
m,22,156,42,40,5
f,28,175,95,52,4
m,26,158,50,46,2
f,20,175,65,null,5
f,25,170,62,40,4
f,67,180,81,42,4
f,49,176,73,35,4
f,29,183,90,37,3
f,34,null,null,40,4
m,23,157,49,44,4
f,31,171,73,0,3
m,28,160,70,40,2
f,22,188,82,40,2
f,24,172,65,40,3
m,30,170,77,60,4
f,20,174,72,40,4
f,25,165,70,40,4
f,24,182,80,30,2
f,40,160,68,38,4
f,22,184,70,0,5
f,26,178,85,48,4
m,21,151,65,0,4
f,32,175,71,40,4
m,23,164,53,50,3
f,39,182,81,36,2
f,27,165,59,40,4
m,24,157,50,60,3
f,40,171,73,null,null
f,34,180,90,40,4
m,20,156,71,28,3
f,24,168,75,40,2
m,26,172,54,25,4
m,37,173,90,35,4
f,22,173,75,0,4
m,21,5,42,0,4
f,32,170,57,40,2
f,67,182,80,40,2
f,43,69,80,45,2
f,43,169,63,60,4
m,21,170,62,0,4
f,25,182,75,38,2
f,null,172,85,5,2
f,31,176,66,40,2
f, Plurinational State of,36,170,1,4
f,27,171,73,40,3
m,44,172,62,45,4
m,20,164,71,null,null
f,23,168,61,45,2
m,27,159,65,0,4
m,25,165,58,45,3
m,29,164,70,42,4
f,25,187,82,38,3
f,32,183,80,50,4
f,26,182,73,40,4
f, Republic of,33,155,4,4
m,28,169,51,15,4
f,27,183,70,40,4
m,26,162,64,30,3
f,38,181,81,50,1
null,null,null,null,null,null
f,40,176,80,40,2
f,35,177,80,37,3
f,48,570,78,40,4
m,39,158,62,43,4
f,26,169,85,50,4
f,39,168,72,48,3
m,37,150,67,35,3
f,33,178,83,40,2
