,index,gender,age,height,weight,weekly_hours,stress
319,399,0,23,168,61,45,2
320,400,1,27,159,65,0,4
321,401,1,25,165,58,45,3
322,402,1,29,164,70,42,4
323,403,0,25,187,82,38,3
324,404,0,32,183,80,50,4
325,405,0,26,182,73,40,4
326,407,1,28,169,51,15,4
327,408,0,27,183,70,40,4
328,409,1,26,162,64,30,3
329,410,0,38,181,81,50,1
330,412,0,40,176,80,40,2
331,413,0,35,177,80,37,3
332,414,0,48,174,78,40,4
333,415,1,39,158,62,43,4
334,416,0,26,169,85,50,4
335,417,0,39,168,72,48,3
336,418,1,37,150,67,35,3
337,419,0,33,178,83,40,2
