,gender,age,height,weight,weekly_hours,stress
331,f,40.0,183.0,129.0,80.0,4.0
332,f,20.0,178.0,74.0,0.0,2.0
333,f,31.0,76.0,70.0,36.0,4.0
334,m,27.0,163.0,50.0,40.0,4.0
335,f,34.0,180.0,80.0,40.0,3.0
336,m,25.0,175.0,55.0,45.0,4.0
337,f,42.0,188.0,885.0,36.0,3.0
338,m,20.0,162.0,67.0,36.0,4.0
339,m,25.0,162.0,70.0,15.0,3.0
340,f,180.0,87.0,70.0,40.0,4.0
341,m,22.0,156.0,45.0,40.0,4.0
342,m,23.0,167.0,70.0,8.0,4.0
343,f,29.0,175.0,71.0,38.0,2.0
344,m,40.0,166.0,64.0,10.0,2.0
345,f,21.0,179.0,71.0,36.0,3.0
346,f,30.0,171.0,65.0,50.0,4.0
347,m,21.0,155.0,55.0,0.0,5.0
348,f,33.0,191.0,114.0,55.0,4.0
349,f,25.0,179.0,91.0,0.0,4.0
350,m,22.0,224.0,70.0,36.0,4.0
351,f,53.0,170.0,95.0,37.0,3.0
352,m,22.0,156.0,42.0,40.0,5.0
353,f,28.0,175.0,95.0,52.0,4.0
354,m,26.0,158.0,50.0,46.0,2.0
355,f,20.0,175.0,65.0,36.0,5.0
356,f,25.0,170.0,62.0,40.0,4.0
357,f,67.0,180.0,81.0,42.0,4.0
358,f,49.0,176.0,73.0,35.0,4.0
359,f,29.0,183.0,90.0,37.0,3.0
360,f,34.0,224.0,70.0,40.0,4.0
361,m,23.0,157.0,49.0,44.0,4.0
362,f,31.0,171.0,73.0,0.0,3.0
363,m,28.0,160.0,70.0,40.0,2.0
364,f,22.0,188.0,82.0,40.0,2.0
365,f,24.0,172.0,65.0,40.0,3.0
366,m,30.0,170.0,77.0,60.0,4.0
367,f,20.0,174.0,72.0,40.0,4.0
368,f,25.0,165.0,70.0,40.0,4.0
369,f,24.0,182.0,80.0,30.0,2.0
370,f,40.0,160.0,68.0,38.0,4.0
371,f,22.0,184.0,70.0,0.0,5.0
372,f,26.0,178.0,85.0,48.0,4.0
373,m,21.0,151.0,65.0,0.0,4.0
374,f,32.0,175.0,71.0,40.0,4.0
375,m,23.0,164.0,53.0,50.0,3.0
376,f,39.0,182.0,81.0,36.0,2.0
377,f,27.0,165.0,59.0,40.0,4.0
378,m,24.0,157.0,50.0,60.0,3.0
379,f,40.0,171.0,73.0,36.0,3.0
380,f,34.0,180.0,90.0,40.0,4.0
381,m,20.0,156.0,71.0,28.0,3.0
382,f,24.0,168.0,75.0,40.0,2.0
383,m,26.0,172.0,54.0,25.0,4.0
384,m,37.0,173.0,90.0,35.0,4.0
385,f,22.0,173.0,75.0,0.0,4.0
386,m,21.0,5.0,42.0,0.0,4.0
387,f,32.0,170.0,57.0,40.0,2.0
388,f,67.0,182.0,80.0,40.0,2.0
389,f,43.0,69.0,80.0,45.0,2.0
390,f,43.0,169.0,63.0,60.0,4.0
391,m,21.0,170.0,62.0,0.0,4.0
392,f,25.0,182.0,75.0,38.0,2.0
393,f,172.0,85.0,70.0,5.0,2.0
394,f,31.0,176.0,66.0,40.0,2.0
395,f,36.0,170.0,70.0,1.0,4.0
396,f,27.0,171.0,73.0,40.0,3.0
397,m,44.0,172.0,62.0,45.0,4.0
398,m,20.0,164.0,71.0,36.0,3.0
399,f,23.0,168.0,61.0,45.0,2.0
400,m,27.0,159.0,65.0,0.0,4.0
401,m,25.0,165.0,58.0,45.0,3.0
402,m,29.0,164.0,70.0,42.0,4.0
403,f,25.0,187.0,82.0,38.0,3.0
404,f,32.0,183.0,80.0,50.0,4.0
405,f,26.0,182.0,73.0,40.0,4.0
406,f,33.0,155.0,70.0,4.0,4.0
407,m,28.0,169.0,51.0,15.0,4.0
408,f,27.0,183.0,70.0,40.0,4.0
409,m,26.0,162.0,64.0,30.0,3.0
410,f,38.0,181.0,81.0,50.0,1.0
411,0,31.0,224.0,70.0,36.0,3.0
412,f,40.0,176.0,80.0,40.0,2.0
413,f,35.0,177.0,80.0,37.0,3.0
414,f,48.0,570.0,78.0,40.0,4.0
415,m,39.0,158.0,62.0,43.0,4.0
416,f,26.0,169.0,85.0,50.0,4.0
417,f,39.0,168.0,72.0,48.0,3.0
418,m,37.0,150.0,67.0,35.0,3.0
419,f,33.0,178.0,83.0,40.0,2.0
