,gender,age,height,weight,weekly_hours,stress
305,0,31.0,173.0,63.0,50.0,4.0
306,0,35.0,175.0,97.0,50.0,4.0
307,0,61.0,152.0,140.0,37.0,2.0
308,1,24.0,165.0,61.0,45.0,2.0
309,0,37.0,176.0,109.0,40.0,4.0
310,1,,,,,
311,1,30.0,167.0,118.0,43.0,5.0
312,0,27.0,168.0,68.0,0.0,4.0
313,0,40.0,180.0,85.0,30.0,3.0
314,0,39.0,177.0,66.0,60.0,4.0
315,0,27.0,182.0,72.0,40.0,2.0
316,0,34.0,170.0,70.0,40.0,4.0
317,0,20.0,166.0,67.0,56.0,3.0
318,1,22.0,170.0,58.0,35.0,4.0
319,0,21.0,189.0,90.0,30.0,4.0
320,0,52.0,171.0,110.0,40.0,4.0
321,0,21.0,174.0,55.0,,2.0
322,1,22.0,170.0,86.0,0.0,4.0
323,0,23.0,176.0,75.0,40.0,3.0
324,1,26.0,163.0,80.0,,4.0
325,0,32.0,174.0,65.0,42.0,2.0
326,0,25.0,166.0,55.0,40.0,3.0
327,1,31.0,170.0,108.0,35.0,2.0
328,1,22.0,155.0,48.0,40.0,2.0
329,1,22.0,175.0,49.0,0.0,3.0
330,0,28.0,,,45.0,4.0
331,0,40.0,183.0,129.0,80.0,4.0
332,0,20.0,178.0,74.0,0.0,2.0
333,0,,231.0,,,4.0
334,1,27.0,163.0,50.0,40.0,4.0
335,0,34.0,180.0,80.0,40.0,3.0
336,1,25.0,175.0,55.0,45.0,4.0
337,0,42.0,188.0,85.0,,
338,1,20.0,162.0,67.0,,4.0
339,1,25.0,162.0,,15.0,3.0
340,0,,180.0,87.0,40.0,4.0
341,1,22.0,156.0,45.0,40.0,4.0
342,1,23.0,167.0,,8.0,4.0
343,0,29.0,175.0,71.0,38.0,2.0
344,1,40.0,166.0,64.0,10.0,2.0
345,0,21.0,179.0,71.0,,
346,0,30.0,171.0,65.0,50.0,4.0
347,1,21.0,155.0,55.0,0.0,5.0
348,0,33.0,191.0,114.0,55.0,4.0
349,0,25.0,179.0,91.0,0.0,4.0
350,1,22.0,,,,4.0
351,0,53.0,170.0,95.0,37.0,3.0
352,1,22.0,156.0,42.0,40.0,5.0
353,0,28.0,175.0,95.0,52.0,4.0
354,1,26.0,158.0,50.0,46.0,2.0
355,0,20.0,175.0,65.0,,5.0
356,0,25.0,170.0,62.0,40.0,4.0
357,0,67.0,180.0,81.0,42.0,4.0
358,0,49.0,176.0,73.0,35.0,4.0
359,0,29.0,183.0,90.0,37.0,3.0
360,0,34.0,,,40.0,4.0
361,1,23.0,157.0,49.0,44.0,4.0
362,0,31.0,171.0,73.0,0.0,3.0
363,1,28.0,160.0,70.0,40.0,2.0
364,0,22.0,188.0,82.0,40.0,2.0
365,0,24.0,172.0,65.0,40.0,3.0
366,1,30.0,170.0,77.0,60.0,4.0
367,0,20.0,174.0,72.0,40.0,4.0
368,0,25.0,165.0,70.0,40.0,4.0
369,0,24.0,182.0,80.0,30.0,2.0
370,0,40.0,160.0,68.0,38.0,4.0
371,0,22.0,184.0,70.0,0.0,5.0
372,0,26.0,178.0,85.0,48.0,4.0
373,1,21.0,151.0,65.0,0.0,4.0
374,0,32.0,175.0,71.0,40.0,4.0
375,1,23.0,164.0,53.0,50.0,3.0
376,0,39.0,182.0,81.0,36.0,2.0
377,0,27.0,165.0,59.0,40.0,4.0
378,1,24.0,157.0,50.0,60.0,3.0
379,0,40.0,171.0,73.0,,
380,0,34.0,180.0,90.0,40.0,4.0
381,1,20.0,156.0,71.0,28.0,3.0
382,0,24.0,168.0,75.0,40.0,2.0
383,1,26.0,172.0,54.0,25.0,4.0
384,1,37.0,173.0,90.0,35.0,4.0
385,0,22.0,173.0,75.0,0.0,4.0
386,1,21.0,152.0,42.0,0.0,4.0
387,0,32.0,170.0,57.0,40.0,2.0
388,0,67.0,182.0,80.0,40.0,2.0
389,0,43.0,211.0,80.0,45.0,2.0
390,0,43.0,169.0,63.0,60.0,4.0
391,1,21.0,170.0,62.0,0.0,4.0
392,0,25.0,182.0,75.0,38.0,2.0
393,0,,172.0,85.0,5.0,2.0
394,0,31.0,176.0,66.0,40.0,2.0
395,0,36.0,170.0,,1.0,4.0
396,0,27.0,171.0,73.0,40.0,3.0
397,1,44.0,172.0,62.0,45.0,4.0
398,1,20.0,164.0,71.0,,
399,0,23.0,168.0,61.0,45.0,2.0
400,1,27.0,159.0,65.0,0.0,4.0
401,1,25.0,165.0,58.0,45.0,3.0
402,1,29.0,164.0,70.0,42.0,4.0
403,0,25.0,187.0,82.0,38.0,3.0
404,0,32.0,183.0,80.0,50.0,4.0
405,0,26.0,182.0,73.0,40.0,4.0
406,0,33.0,155.0,,4.0,4.0
407,1,28.0,169.0,51.0,15.0,4.0
408,0,27.0,183.0,70.0,40.0,4.0
409,1,26.0,162.0,64.0,30.0,3.0
410,0,38.0,181.0,81.0,50.0,1.0
411,,,,,,
412,0,40.0,176.0,80.0,40.0,2.0
413,0,35.0,177.0,80.0,37.0,3.0
414,0,48.0,174.0,78.0,40.0,4.0
415,1,39.0,158.0,62.0,43.0,4.0
416,0,26.0,169.0,85.0,50.0,4.0
417,0,39.0,168.0,72.0,48.0,3.0
418,1,37.0,150.0,67.0,35.0,3.0
419,0,33.0,178.0,83.0,40.0,2.0
