Date,adjclose_x,adjclose_y
2020-09-21,999.1663818359375,11250.5498046875
2020-09-22,996.7918701171875,11153.650390625
2020-09-23,1008.9116821289062,11131.849609375
2020-09-24,965.0330810546875,10805.5498046875
2020-09-25,1000.6998901367188,11050.25
2020-09-28,999.6610717773438,11227.5498046875
2020-09-29,998.2759399414062,11222.400390625
2020-09-30,997.533935546875,11247.5498046875
2020-10-01,1006.8340454101562,11416.9501953125
2020-10-05,1037.553955078125,11503.349609375
2020-10-06,1044.529052734375,11662.400390625
2020-10-07,1055.21435546875,11738.849609375
2020-10-08,1082.07568359375,11834.599609375
2020-10-09,1095.0364990234375,11914.2001953125
2020-10-12,1120.0675048828125,11930.9501953125
2020-10-13,1145.4945068359375,11934.5
2020-10-14,1124.91552734375,11971.0498046875
2020-10-15,1096.4710693359375,11680.349609375
2020-10-16,1115.5164794921875,11762.4501953125
2020-10-19,1113.9334716796875,11873.0498046875
2020-10-20,1125.41015625,11896.7998046875
2020-10-21,1136.1448974609375,11937.650390625
2020-10-22,1117.050048828125,11896.4501953125
2020-10-23,1122.5,11930.349609375
2020-10-26,1112.449951171875,11767.75
2020-10-27,1090.8499755859375,11889.400390625
2020-10-28,1076.550048828125,11729.599609375
2020-10-29,1074.8499755859375,11670.7998046875
2020-10-30,1060.5999755859375,11642.400390625
2020-11-02,1072.300048828125,11669.150390625
2020-11-03,1062.550048828125,11813.5
2020-11-04,1093.949951171875,11908.5
2020-11-05,1104.0,12120.2998046875
2020-11-06,1112.75,12263.5498046875
2020-11-09,1136.550048828125,12461.0498046875
2020-11-10,1091.050048828125,12631.099609375
2020-11-11,1122.5,12749.150390625
2020-11-12,1117.75,12690.7998046875
2020-11-13,1124.199951171875,12719.9501953125
2020-11-17,1123.699951171875,12874.2001953125
2020-11-18,1110.550048828125,12938.25
2020-11-19,1096.75,12771.7001953125
2020-11-20,1103.3499755859375,12859.0498046875
2020-11-23,1139.8499755859375,12926.4501953125
2020-11-24,1140.050048828125,13055.150390625
2020-11-25,1115.6500244140625,12858.400390625
2020-11-26,1113.199951171875,12987.0
2020-11-27,1100.0,12968.9501953125
2020-12-01,1137.8499755859375,13109.0498046875
2020-12-02,1140.9000244140625,13113.75
2020-12-03,1126.449951171875,13133.900390625
2020-12-04,1134.6500244140625,13258.5498046875
2020-12-07,1143.5,13355.75
2020-12-08,1153.3499755859375,13392.9501953125
2020-12-09,1175.199951171875,13529.099609375
2020-12-10,1167.75,13478.2998046875
2020-12-11,1163.199951171875,13513.849609375
2020-12-14,1164.550048828125,13558.150390625
2020-12-15,1154.5999755859375,13567.849609375
2020-12-16,1165.699951171875,13682.7001953125
2020-12-17,1159.199951171875,13740.7001953125
2020-12-18,1189.800048828125,13760.5498046875
2020-12-21,1177.300048828125,13328.400390625
2020-12-22,1220.5,13466.2998046875
2020-12-23,1253.050048828125,13601.099609375
2020-12-24,1236.050048828125,13749.25
2020-12-28,1240.300048828125,13873.2001953125
2020-12-29,1250.300048828125,13932.599609375
2020-12-30,1246.800048828125,13981.9501953125
2020-12-31,1255.800048828125,13981.75
2021-01-04,1288.25,14132.900390625
2021-01-05,1293.800048828125,14199.5
2021-01-06,1282.0999755859375,14146.25
2021-01-07,1262.1500244140625,14137.349609375
2021-01-08,1312.0999755859375,14347.25
2021-01-11,1376.199951171875,14484.75
2021-01-12,1371.75,14563.4501953125
2021-01-13,1387.1500244140625,14564.849609375
2021-01-14,1370.5,14595.599609375
2021-01-15,1344.949951171875,14433.7001953125
2021-01-18,1312.050048828125,14281.2998046875
2021-01-19,1316.6500244140625,14521.150390625
2021-01-20,1339.449951171875,14644.7001953125
2021-01-21,1339.699951171875,14590.349609375
2021-01-22,1340.8499755859375,14371.900390625
2021-01-25,1325.0999755859375,14238.900390625
2021-01-27,1301.0,13967.5
2021-01-28,1276.199951171875,13817.5498046875
2021-01-29,1239.050048828125,13634.599609375
2021-02-01,1260.9000244140625,14281.2001953125
2021-02-02,1271.25,14647.849609375
2021-02-03,1284.6500244140625,14789.9501953125
2021-02-04,1279.3499755859375,14895.650390625
2021-02-05,1272.0999755859375,14924.25
2021-02-08,1303.550048828125,15115.7998046875
2021-02-09,1305.550048828125,15109.2998046875
2021-02-10,1296.5,15106.5
2021-02-11,1292.6500244140625,15173.2998046875
2021-02-12,1309.800048828125,15163.2998046875
2021-02-15,1309.6500244140625,15314.7001953125
2021-02-16,1290.4000244140625,15313.4501953125
2021-02-17,1281.300048828125,15208.900390625
2021-02-18,1292.449951171875,15118.9501953125
2021-02-19,1291.300048828125,14981.75
2021-02-22,1265.199951171875,14675.7001953125
2021-02-23,1266.3499755859375,14707.7998046875
2021-02-24,1274.300048828125,14982.0
2021-02-25,1274.550048828125,15097.349609375
2021-02-26,1253.300048828125,14529.150390625
2021-03-01,1267.0,14761.5498046875
2021-03-02,1304.5,14919.099609375
2021-03-03,1343.550048828125,15245.599609375
2021-03-04,1330.3499755859375,15080.75
2021-03-05,1316.699951171875,14938.099609375
2021-03-08,1335.75,14956.2001953125
2021-03-09,1345.550048828125,15098.400390625
2021-03-10,1368.1500244140625,15174.7998046875
2021-03-12,1374.8499755859375,15030.9501953125
2021-03-15,1373.5999755859375,14929.5
2021-03-16,1384.0,14910.4501953125
2021-03-17,1387.0,14721.2998046875
2021-03-18,1337.0999755859375,14557.849609375
